url,discoveredFrom,status,finalUrl,title,notes
"https://regulskibehawiorysta.pl/","sitemap.xml|code-seed",200,"https://regulskibehawiorysta.pl/","Regulski Behawiorysta | Konsultacje behawioralne psów i kotów",""
"https://regulskibehawiorysta.pl/behawiorysta-online-polska","code-seed",200,"https://regulskibehawiorysta.pl/","Regulski Behawiorysta | Konsultacje behawioralne psów i kotów","redirected"
"https://regulskibehawiorysta.pl/bezplatne-materialy/30-zachowan","code-seed",200,"https://regulskibehawiorysta.pl/materialy","Materiały PDF do pobrania | Regulski Behawiorysta","redirected"
"https://regulskibehawiorysta.pl/bezplatne-materialy/kot-zyje-w-napieciu","code-seed",200,"https://regulskibehawiorysta.pl/materialy","Materiały PDF do pobrania | Regulski Behawiorysta","redirected"
"https://regulskibehawiorysta.pl/bezplatne-materialy/pierwszy-tydzien-z-kotem","code-seed",200,"https://regulskibehawiorysta.pl/materialy","Materiały PDF do pobrania | Regulski Behawiorysta","redirected"
"https://regulskibehawiorysta.pl/bezplatne-materialy/pies-ile-ruchu-potrzebuje","code-seed",200,"https://regulskibehawiorysta.pl/materialy","Materiały PDF do pobrania | Regulski Behawiorysta","redirected"
"https://regulskibehawiorysta.pl/bezplatne-materialy/pies-sam-w-domu","code-seed",200,"https://regulskibehawiorysta.pl/materialy","Materiały PDF do pobrania | Regulski Behawiorysta","redirected"
"https://regulskibehawiorysta.pl/blog","sitemap.xml|code-seed|crawl",200,"https://regulskibehawiorysta.pl/blog","Blog o zachowaniu psów i kotów | Regulski Behawiorysta",""
"https://regulskibehawiorysta.pl/blog/agresja-przekierowana-u-kota","sitemap.xml|code-seed",200,"https://regulskibehawiorysta.pl/blog/agresja-przekierowana-u-kota","Agresja przekierowana u kota — co to jest i... | Regulski Behawiorysta",""
"https://regulskibehawiorysta.pl/blog/behawiorysta-zoopsycholog-trener-do-kogo-sie-zglosic","sitemap.xml|code-seed|crawl",200,"https://regulskibehawiorysta.pl/blog/behawiorysta-zoopsycholog-trener-do-kogo-sie-zglosic","Behawiorysta, zoopsycholog czy trener — do... | Regulski Behawiorysta",""
